med,med_class,super_class,pharm class,theraputic class,route
brexpiprazole,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
cariprazine hcl,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
clozapine,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
invega sustenna,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
latuda,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
lurasidone hcl,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
nuplazid,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
olanzapine,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
paliperidone,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
paliperidone er,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
paliperidone palmitate,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
pimavanserin tartrate,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
quetiapine fumarate,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
quetiapine fumarate er,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
rexulti,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
risperdal consta,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
risperidone,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
risperidone microspheres,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
risperidone microspheres er,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
seroquel,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
thioridazine hcl,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
vraylar,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
lithium,lithium,moodstabilizer,antipsychotics/antimanic agents,central nervous system drugs,
lithium carbonate,lithium,moodstabilizer,antipsychotics/antimanic agents,central nervous system drugs,
lithium carbonate er,lithium,moodstabilizer,antipsychotics/antimanic agents,central nervous system drugs,
antiseptic skin cleanser,antiseptics & disinfectants,miscellaneous products,antiseptics & disinfectants,miscellaneous products,
betadine ex,antiseptics & disinfectants,topical agent,antiseptics & disinfectants,miscellaneous products,
cadexomer iodine,antiseptics & disinfectants,topical agent,antiseptics & disinfectants,miscellaneous products,
povidone-iodine,antiseptics & disinfectants,topical agent,antiseptics & disinfectants,miscellaneous products,
triclosan,antiseptics & disinfectants,topical agent,antiseptics & disinfectants,miscellaneous products,
acyclovir,antiviral,antiviral,antiviral,anti-infective agents,
famciclovir,antiviral,antiviral,antiviral,anti-infective agents,
oseltamivir phosphate,antiviral,antiviral,antiviral,anti-infective agents,
tamiflu,antiviral,antiviral,antiviral,anti-infective agents,
valacyclovir hcl,antiviral,antiviral,antiviral,anti-infective agents,
epclusa,hep-c antiviral,antiviral,antiviral,anti-infective agents,
harvoni,hep-c antiviral,antiviral,antiviral,anti-infective agents,
ledipasvir-sofosbuvir,hep-c antiviral,antiviral,antiviral,anti-infective agents,
sofosbuvir-velpatasvir,hep-c combo,antiviral,antiviral,anti-infective agents,
tenofovir disoproxil fumarate,hiv med combo,antiviral,antiviral,anti-infective agents,
truvada,hiv med combo,antiviral,antiviral,anti-infective agents,
abacavir sulfate-lamivudine,hiv-antiviral,antiviral,antiviral,anti-infective agents,
bictegravir-emtricitab-tenofov,hiv-antiviral,antiviral,antiviral,anti-infective agents,
biktarvy,hiv-antiviral,antiviral,antiviral,anti-infective agents,
darunavir ethanolate,hiv-antiviral,antiviral,antiviral,anti-infective agents,
dolutegravir sodium,hiv-antiviral,antiviral,antiviral,anti-infective agents,
elviteg-cobic-emtricit-tenofaf,hiv-antiviral,antiviral,antiviral,anti-infective agents,
emtricitabine-tenofovir af,hiv-antiviral,antiviral,antiviral,anti-infective agents,
emtricitabine-tenofovir df,hiv-antiviral,antiviral,antiviral,anti-infective agents,
entecavir,hiv-antiviral,antiviral,antiviral,anti-infective agents,
genvoya,hiv-antiviral,antiviral,antiviral,anti-infective agents,
prezista,hiv-antiviral,antiviral,antiviral,anti-infective agents,
arnicare arthritis,alternative medicines,nutritional products,assorted classes,miscellaneous products,
arnicare ex gel,alternative medicines,nutritional products,assorted classes,miscellaneous products,
bee propolis,alternative medicines,nutritional products,assorted classes,miscellaneous products,
chlorella,alternative medicines,nutritional products,assorted classes,miscellaneous products,
chlorophyll,alternative medicines,nutritional products,assorted classes,miscellaneous products,
cold/flu medicine,alternative medicines,nutritional products,assorted classes,miscellaneous products,
colon care,alternative medicines,nutritional products,assorted classes,miscellaneous products,
homeopathic products,alternative medicines,nutritional products,assorted classes,miscellaneous products,
misc natural products,alternative medicines,nutritional products,assorted classes,miscellaneous products,
narcosoft herbal lax,alternative medicines,nutritional products,assorted classes,miscellaneous products,
nerve pain relief sl,alternative medicines,nutritional products,assorted classes,miscellaneous products,
osteo bi-flex adv triple st,alternative medicines,vitamin/ supplemet,assorted classes,miscellaneous products,
osteo bi-flex joint shield,alternative medicines,vitamin/ supplemet,assorted classes,miscellaneous products,
osteo bi-flex triple strength,alternative medicines,vitamin/ supplemet,assorted classes,miscellaneous products,
azathioprine,antimetabolite,antineoplastic/ immunomodulator,assorted classes,miscellaneous products,
mycophenolate mofetil,antimetabolite,antineoplastic/ immunomodulator,assorted classes,miscellaneous products,
glucosamine chondroitin triple,dietary supplement,nutritional products,assorted classes,miscellaneous products,
belatacept,fusion protein,immunosuppresant,assorted classes,miscellaneous products,
zicam cold remedy,minerals & electrolytes,nutritional products,assorted classes,miscellaneous products,
lokelma,potassium binder,potassium binder,assorted classes,miscellaneous products,
lenalidomide,thaledomide analog,antineoplastic / immunomodulator,assorted classes,miscellaneous products,
patiromer sorbitex calcium,potassium binder,potassium binder,assorted classes,miscellaneous products,
sarsaparilla root,dietary supplement,nutritional products,assorted classes,miscellaneous products,
sirolimus,mtor inhibitor,,assorted classes,miscellaneous products,
sodium polystyrene sulfonate,potassium binder,potassium binder,assorted classes,miscellaneous products,
sodium zirconium cyclosilicate,potassium binder,potassium binder,assorted classes,miscellaneous products,
sodiumlystyrene sulfonate,potassium binder,potassium binder,assorted classes,miscellaneous products,
sodiumlystyrene sulfonatewd,potassium binder,potassium binder,assorted classes,miscellaneous products,
tacrolimus,mtor inhibitor,,assorted classes,miscellaneous products,
veltassa,potassium binder,potassium binder,assorted classes,miscellaneous products,
acebutolol hcl,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
atenolol,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
bisoprolol fumarate,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
bystolic,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
carvedilol,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
carvedilol phosphate,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
carvedilol phosphate er,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
coreg,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
first - metoprolol,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
inderal,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
labetalol hcl,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
lopressor,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
metoprolol succinate,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
metoprolol succinate er,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
metoprolol tartrate,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
nadolol,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
nebivolol hcl,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
pindolol,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
propranolol hcl,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
propranolol hcl er,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
propranolol hcl er beads,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
propranolol hcl sr beads,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
sotalol hcl,beta blocker,sympatholytic,beta blockers,cardiovascular agents,
toprol xl,beta-blocker,anti-hypertensive,beta blockers,cardiovascular agents,
amlodipine benzoate,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
amlodipine besylate,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
cartia xt,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
dilt-xr,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem cd,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem hcl,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem hcl coated beads,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem hcl er,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem hcl er beads,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
diltiazem hcl er coated beads,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
felodipine,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
felodipine er,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
matzim la,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
nifedipine,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
nifedipine er,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
nifedipine er osmotic release,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
norvasc,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
verapamil hcl,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
verapamil hcl er,ca-channel_blkr,antihypertensive,calcium blockers,cardiovascular agents,
ertapenem,carbapenem,antibiotics,carbapenem,anti-infective agents,
digox,digoxin,digoxin,cardiotonics,cardiovascular agents,
digoxin,digoxin,digoxin,cardiotonics,cardiovascular agents,
amlodipine-atorvastatin,combo-med,antihypertensive,cardiovascular,cardiovascular agents,
ambrisentan,endothelin receptor antagonist,pulmonary htn med,cardiovascular,cardiovascular agents,
entresto,neprilysin_inhib/arb,raasi,cardiovascular,cardiovascular agents,
sacubitril-valsartan,neprilysin_inhib/arb,raasi,cardiovascular,cardiovascular agents,
cialis,pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
revatio,pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
sildenafil citrate,pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
tadalafil,pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
tadalafil (pah),pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
vardenafil hcl,pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
viagra,pde5 inhibitor,pde5 inhibitor,cardiovascular,cardiovascular agents,
orenitram,prostacyclin analog,prostacyclin analog,cardiovascular,cardiovascular agents,
treprostinil diolamine,prostacyclin analog,prostacyclin analog,cardiovascular,cardiovascular agents,
alprostadil,prostaglandin,prostaglandin,cardiovascular,cardiovascular agents,
alprostadil (vasodilator),prostaglandin,prostaglandin,cardiovascular,cardiovascular agents,
tafamidis meglumine (cardiac),transthyretin chaparone,transthyretin chaparone,cardiovascular,cardiovascular agents,
vyndaqel,transthyretin chaparone,transthyretin chaparone,cardiovascular,cardiovascular agents,
keflex,cephalosporin,antibiotic,cephalosporins,anti-infective agents,
rocephin iv,cephalosporin,antibiotic,cephalosporins,anti-infective agents,
cefadroxil,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefazolin ivpb,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefdinir,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefepime hcl,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefepime ivpb,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefixime,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefpodoxime proxetil,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefprozil,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
ceftazidime,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
ceftriaxone ivpb,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
ceftriaxone sodium,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cefuroxime axetil,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
cephalexin,cephalosporins,antibiotic,cephalosporins,anti-infective agents,
5-methyltetrahydrofolate,folic acid,vitamin,chemicals,miscellaneous products,
lactobacillus acidophilus,probiotic,nutritional product,chemicals,miscellaneous products,
lactobacillus acidophiluswd,probiotic,nutritional product,chemicals,miscellaneous products,
linseed oil oil,alternative med,nutritional product,chemicals,miscellaneous products,
progesterone micronizedwd,hormonal contraceptives,hormonal contraceptives,chemicals,miscellaneous products,
alyacen,hormonal contraceptives,hormonal contraceptives,contraceptives,endocrine & metabolic drugs,
apri,hormonal contraceptives,hormonal contraceptives,contraceptives,endocrine & metabolic drugs,
microgestin,hormonal contraceptives,hormonal contraceptives,contraceptives,endocrine & metabolic drugs,
